ID Number;Name;Sirname;Birthday;Score Type (Q: Quantitative, V: Verbal)
61612312290;name185;sname88; 09.03.1995;Q
71812313428;name191;sname594; 23.08.1993;Q
88512314266;name184;sname4; 02.10.1994;V
28612315266;name89;sname604; 16.04.1995;Q
48612316904;name160;sname498; 07.11.1994;Q
87112317975;name213;sname990; 18.11.1995;V
28612318361;name40;sname873; 18.07.1995;Q
38812319319;name46;sname441; 12.10.1992;Q
36512320786;name137;sname976; 03.12.1993;Q
36412321160;name20;sname872; 12.05.1993;Q
79212322458;name90;sname1161; 03.12.1992;V
92112323428;name84;sname476; 24.03.1992;Q
27712324926;name97;sname405; 28.12.1995;Q
87212325711;name22;sname610; 27.10.1995;Q
33112326584;name224;sname73; 01.12.1994;Q
91112327843;name124;sname704; 23.10.1992;V
91412328735;name215;sname998; 25.09.1992;V
15912329783;name205;sname580; 26.04.1994;V
22012330874;name143;sname96; 16.12.1992;Q
12912331239;name71;sname31; 07.04.1993;Q
54312332664;name152;sname1034; 06.04.1994;Q
65312333703;name222;sname439; 02.04.1992;Q
80012334966;name163;sname1170; 28.11.1993;Q
52812335466;name16;sname65; 06.06.1994;Q
71712336955;name164;sname714; 01.10.1992;V
30412337644;name39;sname981; 27.06.1995;Q
22112338204;name198;sname727; 09.10.1992;V
84512339696;name51;sname417; 08.10.1995;Q
64212340257;name200;sname948; 06.05.1994;V
38612341904;name216;sname1079; 21.08.1995;Q
57212342964;name154;sname626; 12.03.1993;Q
67212343735;name238;sname942; 27.08.1995;Q
95612344100;name248;sname572; 23.08.1993;Q
93712345133;name119;sname1015; 24.10.1994;Q
60112346404;name139;sname572; 09.05.1995;V
13712347579;name159;sname1191; 05.05.1994;Q
10112348583;name206;sname351; 25.08.1995;Q
89412349882;name3;sname221; 11.11.1992;Q
91612350678;name43;sname5; 02.01.1993;Q
69012351581;name140;sname371; 12.01.1992;V
53712352354;name243;sname597; 15.10.1995;Q
37712353935;name246;sname336; 02.11.1993;Q
39012354940;name66;sname707; 16.06.1992;Q
63212355237;name114;sname1072; 13.10.1994;Q
91712356170;name62;sname726; 19.11.1994;Q
12612357288;name174;sname868; 12.04.1993;V
86112358727;name170;sname240; 03.11.1992;Q
21012359952;name165;sname544; 11.10.1992;Q
57812360515;name94;sname826; 16.11.1994;Q
30212361807;name176;sname1089; 06.12.1995;Q
15912362632;name165;sname647; 24.01.1992;Q
68612363918;name66;sname774; 12.10.1994;V
93012364129;name126;sname963; 02.05.1994;Q
96312365959;name81;sname553; 24.01.1995;Q
10912366129;name98;sname1068; 03.01.1992;V
15912367976;name100;sname136; 11.06.1994;V
95512368896;name197;sname652; 04.10.1992;Q
28312369544;name199;sname429; 16.02.1993;Q
58212370389;name121;sname256; 11.12.1995;Q
87212371409;name202;sname397; 08.10.1993;V
61412372400;name151;sname362; 08.12.1994;Q
